,topic_0,topic_1,topic_2,topic_3
AKAP11,2.3736298e-05,8.959714e-06,2.1512223e-09,7.3924734e-06
DERA,8.890204e-11,0.0006470909,1.1843294e-10,6.248756e-11
ABCC2,1.9469682e-05,1.331766e-09,1.0279673e-09,5.338235e-10
DEF6,1.692592e-10,5.13706e-10,3.551205e-10,4.000768e-05
PLEKHO1,1.3890626e-10,4.910501e-10,1.1671392e-05,3.176914e-06
GCLM,8.987189e-05,1.087603e-05,1.3993381e-06,7.356465e-06
UBR2,0.0004410679,6.898245e-05,5.844825e-05,0.00011070678
EHD2,3.4918337e-06,3.0862488e-05,8.673847e-06,1.626209e-08
DEPDC1,1.1407827e-06,3.3268984e-06,8.031485e-09,3.4877718e-07
CCDC28A,5.777246e-06,4.675458e-09,5.14678e-06,4.957291e-06
RRAGD,1.43126545e-05,3.6128747e-06,5.8976334e-06,3.9347938e-06
HSF2,1.0398864e-05,1.4868073e-06,2.305152e-06,7.4492095e-06
PHF20,1.2254411e-05,8.151442e-10,2.8047706e-09,0.0005389394
HSD17B6,1.2320271e-06,1.5210371e-06,4.563745e-06,9.4937485e-07
NR1H3,2.3379022e-05,1.0127351e-05,4.9666793e-10,9.398197e-07
TYMP,3.5386e-11,6.875454e-11,0.0012962471,2.7016231e-11
NCAPH2,3.9336724e-06,6.2510416e-08,1.4599018e-06,1.307309e-06
SEC63,0.00038124243,1.1390758e-10,9.377148e-11,5.0032728e-11
KPNA6,0.0002695117,1.0231669e-09,1.0615229e-06,1.8456956e-05
VIM,3.513581e-11,6.819711e-11,0.0074995314,2.6738686e-11
FAS,2.3935058e-07,2.5858233e-07,1.2239723e-06,1.3065462e-06
CD44,4.3594336e-10,1.7962817e-10,1.1726635e-10,0.0013053116
AGPAT4,5.0379984e-10,3.592197e-09,9.375129e-05,8.39578e-06
SLAMF7,8.94999e-11,2.4592378e-10,2.592019e-10,4.663744e-06
BTN3A1,3.667554e-10,2.4887594e-09,1.2509925e-09,3.1061856e-05
MIPEP,9.08712e-05,5.2288848e-05,1.8868302e-09,8.439475e-06
PRKCH,1.3182673e-10,3.0182865e-10,0.0013512686,8.179098e-05
IFNGR1,1.0838932e-10,2.865997e-10,0.00035978731,1.7459775e-10
VRK2,0.00014300109,6.4973814e-05,4.4875287e-05,4.9463804e-05
TNFRSF1B,1.0552245e-10,4.1811188e-10,6.974689e-05,3.814448e-05
VEZT,0.000844897,4.346548e-10,3.033928e-10,1.5927475e-10
POU2F2,2.3260159e-10,1.8869886e-09,5.4418814e-10,4.7709258e-05
BRD9,3.3008416e-06,6.1261094e-06,4.6526307e-09,5.769496e-07
SNX1,9.850399e-11,1.5147746e-10,0.00051842787,6.057622e-11
TBPL1,4.2595548e-05,2.6358333e-09,1.2585194e-05,1.5916992e-05
ARNTL2,2.9562572e-10,6.7544104e-05,3.794225e-07,9.731463e-07
BCLAF1,4.2337522e-11,7.978618e-11,0.0005518946,3.1994875e-11
SLC39A9,3.641584e-05,3.9333405e-05,2.0035725e-06,1.0610608e-05
