topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
PFKFB3,LSM14A,MYH14,LINC01420,NPY1R,ARHGAP12,RNPEP,NCK2
INSIG1,OGFR,PHYH,GTF3A,IFT43,TXNDC15,MPZL1,DYNC1H1
MIS18BP1,ODC1,RALGAPA2,CCL20,PROM1,PAK2,DUOX2,SEC63
LRRC8A,PDCD4,CNOT1,MMP14,RBM6,TOM1L1,RARS,SKIL
MXRA7,TMEM11,EHMT1,HDLBP,ARMC10,ZNF292,AKAP12,POLR2H
GTF2E2,TBL1XR1,TMEM45B,RNH1,ATL3,PTPN11,R3HDM2,TCF4
GSTO2,PPP4R2,PRKCA,LIMA1,DDX3X,PDHX,PAK1,QARS
ABHD3,PPP2R2A,GTF2H5,LSR,SMAD3,C6orf89,EPRS,CTSK
TMEM2,FRG1,AARS,RAB10,B4GALT5,PEX2,XPA,LIFR
FCHO2,ATP13A3,MAPK1IP1L,CFLAR,SEC13,SMC5,RAB32,SNX5
EXOSC8,IMPA2,STK39,RSRC2,CHPT1,NGDN,ADSS,ZBTB8OS
ARID1A,CBX6,TCEAL3,GTF3C6,CEP57,EPHX2,CHCHD3,MOB1A
BAZ1A,BMPR2,UACA,PTP4A2,MEF2A,CNKSR3,IMMT,ASCC1
PHC3,MARK3,ANKRD37,SF3B2,IFT172,NR5A2,PPP4R3B,HECTD1
ZNF331,DLC1,FANCL,HSPA9,TPGS1,RP11-467J12.4,SLC12A7,RGS10
STAT2,LRP1,TMPRSS2,ACTN1,TBRG1,GRB14,P4HTM,ACSS1
ADGRE5,PTPA,NUTM2B-AS1,RBCK1,PRKDC,SSBP2,HDHD3,COMMD1
DDX27,PPP1R18,PMM2,MAGOH,STAT6,SMAD5,LYPLA1,AKR1C3
FGFR1OP2,LDLR,CDC73,LITAF,MALSU1,AP3D1,LURAP1L,IFI35
FBXW4,WDR26,REV1,RTF1,OSBPL8,ODF2L,ITSN2,CXCL3
ARHGAP17,CARD19,CCNK,EWSR1,TNKS1BP1,CWC27,MBNL2,CSTA
FAM172A,NMRAL1,LATS2,EFNA1,DDX42,RNF146,NUDT5,RBBP6
EFCAB14,CMAS,PDE7A,TESC,TPGS2,FAM60A,INTS10,NT5C3A
PTK7,HIPK3,ITGA2,PLS3,FOXP1,HIST1H2BD,POLD2,SDCBP2
YY1AP1,VPS36,CUX1,NEMF,EMC10,GPRC5B,BAG3,GPI
ZNFX1,IGF2R,C1orf106,VWF,CORO1C,VTCN1,NUTM2A-AS1,RIN2
NUP98,TMPO,SGPP2,WDR1,HIST1H2AC,ATAD1,FAM3C,CGGBP1
PARP10,PAPD4,PLEKHA7,MMP24-AS1,TADA3,GINM1,SRD5A3,LARS
LRRC41,CCDC91,ZDHHC3,RGS5,QKI,POLR2A,CKS2,LTA4H
NBPF1,SPAG9,SH3GL1,KHDRBS1,PDE4DIP,TBC1D5,DNAJA2,XIST
MAP3K8,TCERG1,NPLOC4,MMP2,ARCN1,CPSF7,B3GAT3,PITPNB
ARHGEF7,LGR4,MRPL9,CCDC12,MKL2,TIMM44,C18orf32,PAM
ZCCHC11,GRAMD1A,ASAP2,RNPS1,ATG4B,PDE3A,DICER1,TXNL4A
AK3,ZCCHC17,MYEOV,CDKN1A,ARF6,MRPL1,SKIV2L2,STX8
SEPT6,EPB41L2,TRIP11,VASP,CD34,ICA1,HN1L,PRMT2
ABI1,KIAA1191,ARHGAP26,GOLPH3,OXR1,ARHGAP24,CRISPLD2,MIER1
MTPAP,BRWD1,EGLN3,NDUFV1,LUZP1,SH3RF1,EIF2AK2,S1PR1
ACSL1,TMEM261,ECSIT,GGNBP2,MBOAT7,TXNRD1,STARD3NL,TMEM9
SLC38A1,PARP9,NOTCH4,FAM177A1,SUSD6,SMIM12,SLC39A14,MPZL2
