,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
KMT2E,6.2115264e-11,3.4314773e-10,0.010466351,4.3044143e-10,8.363166e-10,1.5071146e-10,3.0408395e-10,3.5966788e-10,4.4008297e-10,8.2737617e-10,2.6300967e-10,3.444599e-10,5.7083612e-11,3.2776692e-10,1.4699857e-10,6.293794e-10
RHBDD2,6.211503e-11,3.4314773e-10,3.4035205e-10,4.2454634e-10,8.363821e-10,1.5070312e-10,3.0405495e-10,3.5966788e-10,4.4008297e-10,8.273699e-10,2.6300917e-10,3.4446124e-10,5.7083612e-11,3.2770817e-10,0.0009896015,6.2938177e-10
IBTK,6.211503e-11,3.431497e-10,3.4035205e-10,4.245415e-10,0.0040280903,1.5069766e-10,3.040544e-10,3.5966788e-10,4.4008297e-10,8.2732887e-10,2.6300967e-10,3.444599e-10,5.7083612e-11,3.277719e-10,1.4699857e-10,6.2938177e-10
ZNF195,6.211503e-11,3.4314904e-10,3.4035205e-10,4.2454554e-10,8.364794e-10,1.5070427e-10,3.0407643e-10,3.5966788e-10,4.4008214e-10,0.002849074,2.6300817e-10,3.444599e-10,5.7083612e-11,3.277219e-10,1.4699857e-10,6.2937816e-10
MYCBP2,6.211503e-11,3.4314904e-10,6.484347e-10,4.2454232e-10,8.363853e-10,1.5069537e-10,0.002027982,3.5966788e-10,4.4008214e-10,8.2732565e-10,2.6300917e-10,3.4446124e-10,5.7083612e-11,3.2767128e-10,1.4699857e-10,6.2938177e-10
ITGAL,6.211503e-11,3.4314185e-10,0.00017021086,4.2454554e-10,8.3637247e-10,1.5071835e-10,3.040799e-10,3.5966788e-10,4.4008214e-10,8.27373e-10,2.6300867e-10,3.4445924e-10,5.7083612e-11,3.2771064e-10,1.4699912e-10,6.2938416e-10
ITGA3,6.211503e-11,3.4314318e-10,0.003597815,4.2454554e-10,8.3635976e-10,1.50708e-10,3.040544e-10,3.5966788e-10,4.4008297e-10,8.2733514e-10,2.6300967e-10,3.444599e-10,5.7083612e-11,3.2775063e-10,1.4699857e-10,6.2938177e-10
ZFX,6.2115264e-11,3.4314904e-10,9.90387e-10,5.243268e-10,8.3639806e-10,1.5070427e-10,3.040706e-10,3.5966788e-10,4.4008297e-10,8.273746e-10,2.6300967e-10,3.444599e-10,5.720438e-11,0.0015354505,1.4699912e-10,6.2938055e-10
LAMP2,6.211503e-11,3.431471e-10,3.4035205e-10,4.2454554e-10,8.363916e-10,1.507172e-10,3.0407873e-10,3.5966788e-10,4.4008297e-10,8.273525e-10,2.6300967e-10,0.008340274,5.7083612e-11,3.2771627e-10,1.4699857e-10,6.293926e-10
GDE1,6.211503e-11,3.4314054e-10,3.4035205e-10,4.245415e-10,8.3645546e-10,1.5069651e-10,3.0408048e-10,3.5966788e-10,0.0013608709,8.27332e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2776754e-10,1.4699912e-10,6.2938416e-10
CRLF1,6.211503e-11,3.4355704e-10,3.4042216e-10,4.2503978e-10,8.404744e-10,1.5069651e-10,3.0428413e-10,3.5991493e-10,4.4085754e-10,8.301868e-10,2.6301822e-10,3.4457096e-10,5.7089493e-11,3.2790198e-10,1.4702099e-10,6.3045225e-10
OSBPL7,6.21155e-11,3.4315953e-10,3.4624234e-10,4.2454473e-10,8.5008806e-10,1.5070714e-10,3.0409555e-10,3.5967954e-10,9.540513e-10,8.3024854e-10,2.630117e-10,3.444921e-10,5.7083834e-11,3.2844152e-10,1.4700025e-10,6.495946e-10
MAP3K14,6.211503e-11,3.4314318e-10,5.241408e-10,4.2993192e-10,8.385113e-10,1.5070974e-10,3.040741e-10,3.5966924e-10,4.4497336e-10,8.386584e-10,2.6301017e-10,3.4446254e-10,5.7085572e-11,0.00039367855,1.4699912e-10,6.293914e-10
ABCC8,6.211503e-11,3.431484e-10,3.4035205e-10,4.2454312e-10,8.363837e-10,1.507172e-10,3.040741e-10,3.596665e-10,4.4008297e-10,8.273509e-10,2.6301017e-10,3.444599e-10,5.7083612e-11,0.00040755465,1.4699857e-10,6.2938416e-10
AP2B1,6.211503e-11,3.4314118e-10,3.4035205e-10,4.2454634e-10,8.364331e-10,1.5071779e-10,0.0063189254,3.5966788e-10,4.4008214e-10,8.273478e-10,2.6300917e-10,3.4446124e-10,5.7083612e-11,3.2778316e-10,1.4699857e-10,6.293794e-10
ZNF263,6.211503e-11,3.431497e-10,0.00046971612,4.6701526e-10,8.3637564e-10,1.5071892e-10,3.0405495e-10,3.5966788e-10,4.4008297e-10,8.273746e-10,2.6300867e-10,3.4446057e-10,5.7083612e-11,4.1458442e-10,1.4699912e-10,6.293854e-10
CX3CL1,6.211503e-11,3.4314904e-10,3.4035205e-10,0.0024916632,8.363422e-10,1.507172e-10,3.0405495e-10,3.5966788e-10,4.4008214e-10,8.273478e-10,2.6300867e-10,3.4446124e-10,5.7083612e-11,3.2773628e-10,1.4699857e-10,6.293794e-10
MAP3K9,6.211503e-11,3.431373e-10,3.4978426e-10,4.2454634e-10,8.364299e-10,1.5070341e-10,3.0408048e-10,3.5966924e-10,5.7210736e-10,8.273888e-10,2.6300967e-10,3.4446188e-10,5.7083727e-11,5.272782e-10,1.4699912e-10,6.453316e-10
RALA,6.211503e-11,3.431497e-10,3.4035205e-10,4.2454312e-10,8.3632146e-10,1.5071606e-10,3.0407873e-10,3.5966788e-10,4.4008214e-10,8.2735563e-10,0.0025523573,3.4446057e-10,5.7083612e-11,3.2775255e-10,1.4699857e-10,6.2938055e-10
BAIAP2L1,6.211503e-11,3.4314254e-10,3.4035205e-10,4.245415e-10,8.364762e-10,1.5070427e-10,3.0410194e-10,3.5966788e-10,0.0018773179,8.2737617e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2766942e-10,1.4699857e-10,6.293794e-10
KDM7A,6.211503e-11,3.4315104e-10,3.8101916e-10,4.2454473e-10,8.364283e-10,1.5070054e-10,3.0408048e-10,3.5966718e-10,0.0009189419,8.273478e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2769315e-10,1.4699912e-10,6.2938055e-10
ETV1,6.211503e-11,3.4315364e-10,3.403702e-10,4.3827697e-10,8.975415e-10,1.5072468e-10,3.0408803e-10,3.5967268e-10,4.7443394e-10,9.1108293e-10,2.6300867e-10,3.4446254e-10,5.716926e-11,3.3914735e-10,1.4699912e-10,6.4264777e-10
AGK,6.211503e-11,3.431471e-10,4.2674567e-10,4.4603385e-10,8.363422e-10,1.5070542e-10,3.0408337e-10,3.5966788e-10,0.000814497,8.273509e-10,2.6301067e-10,3.4446057e-10,5.7083727e-11,3.447866e-10,1.4699912e-10,6.2938416e-10
ALDH3B1,6.211503e-11,3.4317654e-10,3.4117878e-10,4.2454634e-10,8.365177e-10,1.5071203e-10,3.040857e-10,3.5967954e-10,5.3121413e-10,8.447848e-10,2.630428e-10,3.4458345e-10,5.7083834e-11,3.4150235e-10,1.4700081e-10,6.372016e-10
TTC22,6.211503e-11,3.4314318e-10,3.4239916e-10,4.2454554e-10,8.364427e-10,1.5070686e-10,3.04066e-10,3.5967063e-10,4.8168824e-10,8.2735563e-10,2.6300867e-10,3.4446582e-10,5.7083727e-11,3.3100933e-10,1.4699969e-10,6.2942856e-10
PHTF2,6.211503e-11,3.4314054e-10,0.00072690967,4.245415e-10,8.3639323e-10,1.5071892e-10,3.040741e-10,3.5966788e-10,4.4008297e-10,8.273746e-10,2.6300867e-10,3.4446124e-10,5.7083612e-11,3.4961486e-10,1.4699912e-10,6.2938177e-10
CCL26,6.211503e-11,3.431589e-10,3.41705e-10,4.3007461e-10,8.4710344e-10,1.507172e-10,3.0418779e-10,3.5979e-10,4.4456705e-10,8.427136e-10,2.630172e-10,3.4448552e-10,5.7138513e-11,3.2809905e-10,1.4699912e-10,6.3267114e-10
FARP2,6.211503e-11,3.4315104e-10,3.4035205e-10,4.2454554e-10,8.3626567e-10,1.5071003e-10,3.0405553e-10,0.0012207293,5.198298e-10,8.273336e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.6106387e-10,1.4699912e-10,6.2938177e-10
USH1C,6.211503e-11,3.4314904e-10,0.0013158045,4.2454232e-10,8.363438e-10,1.5067236e-10,3.0407005e-10,3.5966788e-10,5.1197074e-10,8.2732565e-10,2.6300967e-10,3.4445924e-10,5.7083612e-11,3.2774253e-10,1.4699912e-10,6.2938416e-10
DBF4,6.21155e-11,3.431497e-10,4.55882e-10,4.3374465e-10,8.363247e-10,1.50708e-10,3.040538e-10,3.5966996e-10,4.839085e-10,8.2733514e-10,2.6300967e-10,3.4446385e-10,5.7285832e-11,3.2774314e-10,1.4700362e-10,6.2938416e-10
TBXA2R,6.211503e-11,3.4314054e-10,3.4035333e-10,4.3867587e-10,8.363103e-10,1.5072037e-10,3.0408395e-10,3.5966718e-10,4.4008214e-10,8.273478e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2773065e-10,1.4699857e-10,6.2938177e-10
IFRD1,6.211503e-11,3.4314904e-10,3.4035205e-10,4.2454554e-10,8.363996e-10,1.5071577e-10,3.040741e-10,3.5966788e-10,4.4008214e-10,8.2736673e-10,0.0014399682,3.444599e-10,5.7083612e-11,3.2775316e-10,1.4699857e-10,6.293794e-10
COX10,6.211503e-11,3.4315234e-10,5.5509064e-10,4.291757e-10,1.2563728e-09,1.5071376e-10,3.040596e-10,3.5968023e-10,4.40088e-10,1.3361677e-09,2.630137e-10,3.44477e-10,5.7524308e-11,5.263468e-10,1.4699912e-10,7.0428957e-10
